co_codifa,mese,count
033940038,2016-03-01,927
025202058,2016-03-01,763
026089019,2016-04-01,2673
025300029,2016-04-01,1189
026664021,2016-04-01,876
033940038,2016-04-01,797
025680024,2016-04-01,643
026089019,2016-05-01,2947
025300029,2016-05-01,1517
026664021,2016-05-01,995
033940038,2016-05-01,826
025680024,2016-05-01,798
026089019,2016-06-01,2516
025300029,2016-06-01,1470
026664021,2016-06-01,856
025680024,2016-06-01,749
033940038,2016-06-01,641
026089019,2016-07-01,2441
025300029,2016-07-01,1628
026664021,2016-07-01,877
025680024,2016-07-01,841
033940038,2016-07-01,607
026089019,2016-08-01,2111
025300029,2016-08-01,1371
026664021,2016-08-01,770
025680024,2016-08-01,761
033940038,2016-08-01,493
026089019,2016-09-01,2673
025300029,2016-09-01,1509
026664021,2016-09-01,944
025680024,2016-09-01,802
033940038,2016-09-01,697
026089019,2016-10-01,2826
025300029,2016-10-01,1282
026664021,2016-10-01,882
033940038,2016-10-01,864
025680024,2016-10-01,787
026089019,2016-11-01,2903
025300029,2016-11-01,1310
026664021,2016-11-01,907
033940038,2016-11-01,847
025680024,2016-11-01,795
026089019,2016-12-01,3477
025300029,2016-12-01,1385
026664021,2016-12-01,1067
027860042,2016-12-01,929
033940038,2016-12-01,925
026089019,2017-01-01,3933
025300029,2017-01-01,1515
026664021,2017-01-01,1258
033940038,2017-01-01,1064
027860042,2017-01-01,1031
026089019,2017-02-01,3063
025300029,2017-02-01,1354
026664021,2017-02-01,954
033940038,2017-02-01,802
025680024,2017-02-01,747
026089019,2017-03-01,3701
025300029,2017-03-01,1510
026664021,2017-03-01,1003
033940038,2017-03-01,953
027860042,2017-03-01,838
026089019,2017-04-01,2547
025300029,2017-04-01,1149
026664021,2017-04-01,818
033940038,2017-04-01,683
025680024,2017-04-01,572
026089019,2017-05-01,3240
025300029,2017-05-01,1549
026664021,2017-05-01,939
025680024,2017-05-01,787
033940038,2017-05-01,759
026089019,2017-06-01,2633
025300029,2017-06-01,1418
026664021,2017-06-01,829
025680024,2017-06-01,798
033940038,2017-06-01,620
026089019,2017-07-01,2795
025300029,2017-07-01,1777
026664021,2017-07-01,929
025680024,2017-07-01,901
033940038,2017-07-01,543
026089019,2017-08-01,2063
025300029,2017-08-01,1394
026664021,2017-08-01,846
025680024,2017-08-01,764
033940038,2017-08-01,429
026089019,2017-09-01,3043
025300029,2017-09-01,1577
026664021,2017-09-01,989
025680024,2017-09-01,799
033940038,2017-09-01,729
026089019,2017-10-01,3358
025300029,2017-10-01,1486
026664021,2017-10-01,1137
033940038,2017-10-01,883
025680024,2017-10-01,773
026089019,2017-11-01,3326
025300029,2017-11-01,1336
026664021,2017-11-01,1075
033940038,2017-11-01,784
025680024,2017-11-01,741
026089019,2017-12-01,3116
025300029,2017-12-01,1260
026664021,2017-12-01,963
027860042,2017-12-01,769
033940038,2017-12-01,754
026089019,2018-01-01,4717
025300029,2018-01-01,1550
026664021,2018-01-01,1295
025202058,2018-01-01,1207
033940038,2018-01-01,1187
026089019,2018-02-01,3304
025300029,2018-02-01,1276
026664021,2018-02-01,1037
033940038,2018-02-01,848
027860042,2018-02-01,830
026089019,2018-03-01,3322
025300029,2018-03-01,1413
026664021,2018-03-01,1083
033940038,2018-03-01,867
027860042,2018-03-01,783
026089019,2018-04-01,2657
025300029,2018-04-01,1155
026664021,2018-04-01,972
033940038,2018-04-01,737
027860042,2018-04-01,634
026089019,2018-05-01,3075
025300029,2018-05-01,1448
026664021,2018-05-01,1012
025680024,2018-05-01,830
027860042,2018-05-01,703
026089019,2018-06-01,2582
025300029,2018-06-01,1358
026664021,2018-06-01,883
025680024,2018-06-01,751
033940038,2018-06-01,631
026089019,2018-07-01,2697
025300029,2018-07-01,1582
026664021,2018-07-01,970
025680024,2018-07-01,885
033940038,2018-07-01,624
026089019,2018-08-01,1854
025300029,2018-08-01,1167
026664021,2018-08-01,764
025680024,2018-08-01,645
033940038,2018-08-01,481
026089019,2018-09-01,561
025300029,2018-09-01,307
026664021,2018-09-01,198
025680024,2018-09-01,173
033940038,2018-09-01,152
