userid,pazienti,prescrizioni
"A¶,L5+H",850,12519
A:¶7RK©,335,12455
R5X5SDF,594,12213
D5UWDE8,406,11996
*]./RG7,179,11895
PWY4QC5,848,11718
YYN8R61,693,11451
A=DOT{:,758,11219
^@A}K/0,533,11195
¶CP:E0L,711,11178
K9CSSGJ,612,11070
YWHRSUX,426,10942
"^81,Z¶S",268,10939
"A.A^,BD",634,10884
WBNYYRF,54,10752
A¶#©Y}G,411,10617
¶T3S}JT,498,10615
YKC8SX6,687,10605
^W=©95V,455,10525
"A.A^,^)",869,10403
¶9S<|ZI,574,10390
QKJYQ9E,429,10299
^@7]©D3,608,10126
A:}(>EC,300,9950
A.O7C3*,722,9717
A=U©[T@,574,9659
¶Q:;}MH,721,9452
^?FBI05,519,9398
"A:_;8,>",363,9060
"A¶,<^(0",355,8922
A=*Z@;@,555,8664
¶0QUQ#5,579,8518
A.<M@9T,783,8415
A.=6![I,511,7875
A¶_F9JQ,734,7860
CPNWSFM,530,7813
NK854WM,652,7718
^HNM>)S,506,7626
A:H&6EP,504,7617
A.YVZUV,371,7533
A:2^;=/,454,7504
^.V{*?1,354,7497
A.A^^T{,681,7377
QMRDUE8,743,7136
A:Z/UDW,380,6894
A:SG)&L,319,6878
A.X#&JV,174,6792
A.9!}2<,423,6663
A.=6!(&,534,6488
A::?T$_,376,6419
A.Y<8|[,678,5999
A=X-©$0,342,5918
RBJYW84,591,5847
¶¶/4.!1,336,5736
67QP42J,308,5639
Q5T9Q3Q,177,5636
A.-2(Z},445,5619
A=$$P(@,523,5484
A=>ZEFR,168,5480
¶X*..[9,399,5459
7YJKVS8,230,5391
A:OKU)2,210,5269
JRCUV61,85,5213
XBWWUUX,241,5101
A.0PG@¶,295,5069
A.LA;RM,198,5045
A=00¶N3,279,4929
¶57^Z-H,236,4901
¶R$C;C2,492,4877
A.4N#0A,119,4800
A.BV9V],218,4728
A.RXKS8,402,4648
A=PZ¶-L,135,4486
A:++=E©,305,4443
A:G}1TQ,233,4431
A=EW|7B,446,4334
A.G0**?,391,4217
A:9[9*<,172,4120
A.L;V8<,441,4114
A.*)^(@,314,4114
A=QOO:_,246,4054
A.:(6/$,502,4053
A=KTX-D,58,4010
A.]X1JH,221,4006
"^@D]*,7",341,3969
^W>9!AR,124,3725
2GR6TPC,285,3689
*#U:|!Q,167,3520
A:_;G0©,375,3500
A.-PHS1,430,3423
967XUNA,267,3397
A¶_F9T{,410,3360
A.S|C5@,242,3269
A=2>T.;,174,3248
A.C/E^1,193,3216
PDYCUC5,247,3214
A:XEPJ9,124,3148
A.DGIC>,225,3145
A.*MY&&,510,3102
A.QN|{T,266,3058
A.FONZO,176,3042
A.NH)OC,236,2981
^]2A3)B,188,2977
A.D#©G-,197,2789
A.8;6YU,226,2629
A::8).*,87,2606
A.Y]1J|,264,2597
A.{}<K8,197,2572
^@88T/3,199,2497
A:[090R,25,2490
A.-W)>],110,2479
A.59-3G,139,2464
A.RN7?7,266,2463
A=QY¶UC,154,2425
PWWMU1M,219,2334
A.UZ?ZV,199,2314
A:.T]¶=,112,2313
A.U|;^_,212,2306
A=Z;#!P,20,2275
A.US=OC,155,2168
A.<]_|0,132,2150
A.=LV07,155,2147
A:K$SEZ,190,2121
A:)/++6,168,2117
A:<X/©$,172,2093
A.C>@PI,191,2077
2R9RDNA,140,2025
"A=¶:,@[",136,2010
A:X)[K3,251,1991
^C3K#WS,77,1964
A=3S}S*,43,1885
"A=©KB9,",105,1878
A=<Q<=¶,143,1871
A=2?ZTP,76,1825
^©OPKW4,417,1716
A=KTXXU,41,1708
A:RZ#<T,134,1679
9NQFYQ5,173,1647
A.P*5C3,82,1623
QYSR4BC,111,1600
A=F2CSL,132,1588
KREQW61,44,1569
PPKU4JV,108,1569
MMGWUGJ,248,1565
A==J^@2,135,1550
A.U©FIM,208,1544
A.*<|D{,154,1533
JHKKTT9,129,1507
A.}©9P[,358,1471
A=^<.TT,77,1469
A.V6K][,94,1431
A./N]0V,105,1425
A:_+Z3D,90,1424
A.}A#5^,148,1408
A.PJ^U!,233,1402
A.E$WB0,148,1390
A.*[<5¶,113,1389
ATW6SPC,108,1389
R4KUVT9,145,1386
A:L{^)7,141,1374
A.U9?}J,151,1360
A.UT/0_,119,1339
A:)C+|I,28,1335
A.2HI-A,64,1335
A.W@*CU,182,1333
E6TWYZR,62,1306
KRWTQRF,171,1286
A:)O_J_,23,1271
"A.T!2],",100,1269
ECTKRRF,96,1269
A:-MID),93,1265
A.7/LA],93,1260
466TDYM,212,1222
A.C?&D=,104,1222
A:M^VH8,108,1217
A.V6+Z=,164,1203
A.ZEK4{,165,1193
A.CBZV!,103,1187
A.D10O],59,1182
A=¶81^-,19,1168
A.^8X}¶,122,1152
A.C}<7],86,1140
A:287HS,58,1117
7HTHRGJ,146,1102
RNKSQHQ,94,1101
A:_XF©2,110,1101
A.T??A},84,1092
A.R*©:X,131,1079
WYPFRYM,145,1079
A:2^;*T,153,1071
A.E#P7M,97,1066
A.XY.TY,106,1055
^K#!WCM,88,1053
A.V5@.W,61,1035
A=TY¶GH,92,1034
"A.(/,A8",146,1030
A.S@3[2,86,1028
^.U[KT3,117,1019
A.2QBQH,59,1013
A=(;GZS,14,1000
A.XIFJE,117,998
A.U9?.K,130,996
A.HB:)H,207,988
A.H¶#?>,47,969
A./K+FO,173,965
A.UPJ=K,51,963
A.LA>GZ,91,960
A.^$VDX,206,958
A.U_1D-,101,956
A:MDWOJ,72,956
A.DJ*^6,69,954
A.¶S©)X,65,939
A.XY)©!,86,928
A.^RT}/,101,926
A.US.[},65,922
A:[}[?<,100,904
A.L<]*9,104,902
A.{RI1),73,898
A.O^F/N,92,892
A¶&([YR,108,890
A.YPGUE,258,887
¶C+=3{M,219,886
A.>!1.W,93,872
A=?©#U_,50,862
"A.CEW,R",37,859
A=F26*W,54,849
A.CEY=J,45,847
A.C[:I/,101,843
A.R{D©E,39,824
A.UQ6L<,51,819
A.U70@D,68,814
A.^LSNF,57,813
A.W20.Z,86,808
^?F5]Q4,94,807
A.7-YL*,52,806
A.UC&1A,73,803
A.R0)^#,50,800
A.UDXDD,50,796
A.*/#VQ,52,795
A:.DX0=,65,790
A==I©ZM,62,786
6X3CD5U,115,777
FWF9QGJ,8,775
2ET6RNA,74,773
A.^©NWV,122,759
A.USQYL,70,747
A.5-3EA,91,730
EFWSVFM,83,730
A.GY2;I,42,720
3SHUYT9,65,718
"A.3J4L,",30,689
"A.B,NCL",99,674
A.^8U+N,49,673
A.^1)Y],37,671
¶3?WKAI,65,669
A.*)¶B.,60,644
A.T/81!,38,642
A.^>/.:,104,638
NBJGRNA,81,631
A.U_FVA,51,622
"A:[¶,HJ",22,615
A=3TCC#,25,613
^¶C?->C,54,604
A.*J>:],37,597
A==J©WM,47,590
