userid,pazienti,prescrizioni
^FGZ]=0,1409,2439
ACWYERF,1233,2434
AHJFU84,847,2403
^J}*?ID,1617,2396
AJGQJGJ,1482,2388
A=)$[6J,1389,2386
4EP9D4W,1342,2376
YHQSDE8,1322,2362
RMSGTGJ,1737,2353
^[&D6B2,740,2345
WQDF44W,1526,2327
"A=}RO,2",1790,2318
7S6KQT9,748,2298
DSQKDQ5,817,2291
7G3YD84,1282,2287
AQKRRA2,1586,2285
JT76W2J,1418,2278
^PN**66,1417,2267
YS7R4E8,1575,2266
¶2W(.@V,1069,2260
SN8GWQ5,1646,2252
BQRFQT9,2337,2250
YWHE4MV,1337,2239
WPGXTWM,1820,2237
Q8DPVNA,930,2237
3YUTY84,1065,2234
JYJUD4W,1402,2227
AS5UR9E,964,2219
BP7QT84,1573,2219
SSPSW1M,1688,2215
^RL8&(4,1533,2180
A=<IM4^,1410,2179
RW7SU5U,1614,2176
WRSVDKA,1446,2162
AWKCNJV,1396,2157
^F0I;X4,1067,2154
¶MZ#.?D,1512,2148
R9YXVX6,1598,2145
Y8XHTC5,1697,2143
QYHJVX6,2659,2126
^QM>MQ9,1150,2123
A=6+612,1654,2123
GNMR5E8,1886,2119
34Y6DWM,1529,2115
^B©A<_Q,906,2108
HFHSST9,1798,2106
HCC5QP3,1732,2104
8TY6YJV,1294,2095
3SN6YBC,1606,2092
GQEST3Q,1703,2092
A=ZRVR_,1340,2068
NW7XQC5,1793,2065
A:Z{<+?,1130,2060
RCY9WVJ,1803,2058
ANEQVS8,1783,2053
¶{*M=^0,2528,2040
XQPRU1M,1555,2034
"A=)5,F9",713,2033
R7QWDPC,1521,2031
"A=UO6,D",1054,2031
^$:QG53,1434,2031
RQWCDA2,1867,2020
A=>|-<=,1388,2019
CMQQSC5,1407,2018
KECYRVJ,1506,2016
WFQJQE8,1667,2001
KS6WQT9,1527,1996
WMF7DC5,1807,1991
¶NZZA#G,1378,1991
^].(F44,1332,1990
^OV?©FV,1338,1972
A2HSV3Q,981,1969
¶2B$[|8,1127,1969
"A¶,<[/.",1880,1966
"A=^,-08",1287,1962
ASMRW61,884,1961
EBQW4BC,920,1958
AQK7QC5,1562,1954
WX8FU2J,1309,1953
RRFHUDF,1310,1953
4GDQV4W,887,1952
YJWMRRF,1503,1949
A3PWRGJ,1576,1943
77G8S1M,1726,1940
RK98UBC,1460,1930
N7RHDBC,736,1907
¶YR5)-2,1048,1907
A=P:@/.,1651,1895
