userid,pazienti,prescrizioni
A.QN|{T,266,681
A=EW|7B,446,671
"^@D]*,7",341,653
A.L;V8<,441,641
A.RXKS8,402,641
¶X*..[9,399,640
A=X-©$0,342,579
A.0PG@¶,295,571
2GR6TPC,285,555
A=00¶N3,279,551
967XUNA,267,532
A.&P_TD,312,523
A:++=E©,305,510
A.@{&QY,335,508
¶57^Z-H,236,483
67QP42J,308,482
A.*)^(@,314,460
^@88T/3,199,460
A.}©9P[,358,453
A.Y]1J|,264,444
A.NH)OC,236,442
JRCUV61,85,418
2R9RDNA,140,402
A=QOO:_,246,402
A:X)[K3,251,401
WBNYYRF,54,400
A.BV9V],218,394
XBWWUUX,241,389
A.RN7?7,266,386
A:OKU)2,210,382
A.{}<K8,197,381
"A.@¶W,K",205,369
A:9[9*<,172,368
A.LA;RM,198,366
A.YPGUE,258,365
A.S|C5@,242,358
A.]X1JH,221,351
MMGWUGJ,248,350
A=2>T.;,174,344
A.C/E^1,193,331
A:G}1TQ,233,329
PDYCUC5,247,319
A.4N#0A,119,308
A.8;6YU,226,302
A.DGIC>,225,301
"A=©KB9,",105,294
A.PJ^U!,233,291
A.^$VDX,206,288
A::8).*,87,287
*#U:|!Q,167,276
A=>ZEFR,168,276
A.U|;^_,212,274
466TDYM,212,270
A.D#©G-,197,265
A=QY¶UC,154,264
¶C+=3{M,219,263
A.FONZO,176,261
^]2A3)B,188,260
A.UZ?ZV,199,259
A./K+FO,173,258
A.C>@PI,191,257
PWWMU1M,219,257
A:<X/©$,172,257
A:)/++6,168,253
A.U©FIM,208,253
A.X#&JV,174,251
A.HB:)H,207,244
A:K$SEZ,190,237
A.?+|/5,163,231
ATW6SPC,108,230
E6TWYZR,62,223
A.W@*CU,182,221
KREQW61,44,221
NTEQT7B,198,219
A=Z;#!P,20,214
^W>9!AR,124,211
9NQFYQ5,173,211
A.*<|D{,154,210
A.V6+Z=,164,209
A:XEPJ9,124,209
A.}A#5^,148,208
A=PZ¶-L,135,205
A.US=OC,155,203
A.=LV07,155,202
KRWTQRF,171,201
A.59-3G,139,200
A=<Q<=¶,143,198
A./N]0V,105,195
A:L{^)7,141,190
"A=¶:,@[",136,187
"A.(/,A8",146,187
6X3CD5U,115,183
WYPFRYM,145,183
A:2^;*T,153,181
EFWSVFM,83,181
R4KUVT9,145,180
A.ZEK4{,165,179
7HTHRGJ,146,178
JHKKTT9,129,177
A.<]_|0,132,172
A.U9?}J,151,171
A=KTX-D,58,170
A==J^@2,135,170
A.UT/0_,119,167
A=F2CSL,132,166
A.E$WB0,148,164
A.^©NWV,122,163
A:_XF©2,110,161
A.-W)>],110,157
A.U9?.K,130,155
"A,20{_S",125,155
A.R*©:X,131,153
A:.T]¶=,112,151
A.*[<5¶,113,150
A:RZ#<T,134,149
QYSR4BC,111,143
A.XIFJE,117,142
A.^8X}¶,122,142
PPKU4JV,108,141
HN37WQ5,110,141
A.|}8L©,117,141
A.W20.Z,86,141
A¶&([YR,108,141
A.7/LA],93,139
ECTKRRF,96,138
^.U[KT3,117,135
A=?©#U_,50,134
A:M^VH8,108,133
RNKSQHQ,94,133
FWF9QGJ,8,130
A.XY.TY,106,128
A.QK:]5,113,127
A.CBZV!,103,126
"A.T!2],",100,126
A:[}[?<,100,125
A.C[:I/,101,124
"A,1{+D@",107,124
A.L<]*9,104,123
A.^>/.:,104,122
"A.B,NCL",99,121
A.Y;L©E,71,120
A:-MID),93,119
^?F5]Q4,94,118
A.LA>GZ,91,117
A.C?&D=,104,117
A.S@3[2,86,115
A=TY¶GH,92,115
^C3K#WS,77,114
^K#!WCM,88,113
A.E#P7M,97,112
A.C}<7],86,111
A.P*5C3,82,111
A.U_1D-,101,110
A.^RT}/,101,110
HWFYSMV,92,110
A.>!1.W,93,108
A=2?ZTP,76,107
A.*F©5J,81,105
A.5-3EA,91,103
A.V6K][,94,103
A.O^F/N,92,103
2BRTSGJ,12,102
A:T{Z49,87,102
A:_+Z3D,90,100
"A:D:,C>",70,100
A.XY)©!,86,98
NBJGRNA,81,98
A=^<.TT,77,96
"A.@8AT,",72,95
"A.*F&2,",83,95
A.UC&1A,73,94
2ET6RNA,74,94
A.¶.2©<,82,94
A.2HI-A,64,93
A:MDWOJ,72,92
8STWSE8,84,91
A.T??A},84,90
A.{RI1),73,89
XWHWDX6,10,89
A.S3MMX,65,89
A:.DX0=,65,87
"A,1@G&>",78,86
A.DJ*^6,69,85
A=KTXXU,41,84
APYRN61,63,84
3SHUYT9,65,83
"A,1©I[P",68,81
A=(;GZS,14,81
A.XT-?6,69,80
A.*)¶B.,60,80
A.{$=OE,71,80
ACC9ZWM,68,80
A.*&5Q_,65,79
A.U70@D,68,78
A.*[$©H,60,78
A:287HS,58,77
A.USQYL,70,77
A.US.[},65,76
A.¶S©)X,65,76
"A,0${$(",68,76
A==I©ZM,62,75
A.UQ6L<,51,73
A.V5@.W,61,72
A./OY3©,58,72
¶3?WKAI,65,71
A.UPJ=K,51,71
A.^LSNF,57,70
A.{#H#Y,64,70
MQT5VUX,66,70
A.X&$ET,52,69
A.7-YL*,52,69
A:>VK>5,49,69
A=#OFV7,59,69
A.OG!:I,55,68
A.2QBQH,59,68
A.}H¶-^,56,67
"A.,@T^¶",58,67
A.UDXDD,50,65
A.D10O],59,65
A=7?_7I,52,64
A.JSQ!{,54,64
A.C?*X@,47,63
A./QU2M,56,63
^¶C?->C,54,63
A.#©6*B,51,62
A=#¶D8D,31,62
"A,1.FM<",52,62
A.R0)^#,50,62
A.U_FVA,51,61
A.SV3?),47,61
"A.QLOF,",43,61
A.C/_KR,53,61
"A,1)O#I",49,61
A.C©!O[,50,61
A:[090R,25,61
A==J©WM,47,60
"A,2MF]2",42,60
A.?+V74,53,59
A=F26*W,54,59
A.^8U+N,49,58
A.*/#VQ,52,58
A=3S}S*,43,58
A:)C+|I,28,57
A.UD1V[,40,56
"A.TR,+8",49,56
A.P2?W|,51,55
A.{WBK!,47,55
A.H¶#?>,47,54
A.UZV}Y,45,54
"A.B!Z!,",47,53
A.(]];X,43,53
A:4¶OKD,43,53
A.^$4R{,47,53
MHPTW9E,49,53
A¶@{P#N,45,52
¶M/9+BN,43,52
"A,08|Z2",42,52
A.V}8#=,45,50
A.^[TX[,45,50
A:)O_J_,23,50
A.36HT^,40,50
"A:5EI[,",48,50
A.CEY=J,45,49
A:?#JGT,42,49
"A.S,;+D",42,49
A3QKKS8,37,49
A.BCO]2,36,48
A.T/81!,38,48
A=¶81^-,19,48
A=N@P;1,39,47
"A,05]F/",43,47
"A,2X@N=",39,47
"A,2N480",30,46
A.*J>:],37,46
A.^L43$,39,46
A.GY2;I,42,46
