co_codifa,mese,count
026664021,2012-12-01,2523
025202058,2012-12-01,2045
026089019,2013-01-01,9990
025300029,2013-01-01,5259
033940038,2013-01-01,3650
026664021,2013-01-01,3395
025202058,2013-01-01,2999
026089019,2013-02-01,8419
025300029,2013-02-01,4215
033940038,2013-02-01,3144
026664021,2013-02-01,2925
025202058,2013-02-01,2529
026089019,2013-03-01,7980
025300029,2013-03-01,4457
033940038,2013-03-01,3103
026664021,2013-03-01,3075
025202058,2013-03-01,2341
026089019,2013-04-01,7172
025300029,2013-04-01,4673
026664021,2013-04-01,2784
033940038,2013-04-01,2758
025680024,2013-04-01,2129
026089019,2013-05-01,7363
025300029,2013-05-01,5216
026664021,2013-05-01,3080
033940038,2013-05-01,2706
025680024,2013-05-01,2526
026089019,2013-06-01,6315
025300029,2013-06-01,4762
026664021,2013-06-01,2638
033940038,2013-06-01,2331
025680024,2013-06-01,2132
026089019,2013-07-01,6670
025300029,2013-07-01,5796
026664021,2013-07-01,2984
025680024,2013-07-01,2827
033940038,2013-07-01,2504
026089019,2013-08-01,4934
025300029,2013-08-01,4105
026664021,2013-08-01,2227
025680024,2013-08-01,2082
033940038,2013-08-01,1669
026089019,2013-09-01,7469
025300029,2013-09-01,5129
026664021,2013-09-01,3079
025680024,2013-09-01,2534
033940038,2013-09-01,2434
026089019,2013-10-01,8298
025300029,2013-10-01,5012
026664021,2013-10-01,3341
033940038,2013-10-01,2925
025680024,2013-10-01,2638
026089019,2013-11-01,7256
025300029,2013-11-01,4485
026664021,2013-11-01,3033
033940038,2013-11-01,2583
025680024,2013-11-01,2424
026089019,2013-12-01,8119
025300029,2013-12-01,4486
026664021,2013-12-01,3022
033940038,2013-12-01,3001
025202058,2013-12-01,2425
026089019,2014-01-01,10424
025300029,2014-01-01,5564
033940038,2014-01-01,3810
026664021,2014-01-01,3745
025202058,2014-01-01,3308
026089019,2014-02-01,8571
025300029,2014-02-01,4563
026664021,2014-02-01,3434
033940038,2014-02-01,3220
025202058,2014-02-01,2710
026089019,2014-03-01,8801
025300029,2014-03-01,4908
026664021,2014-03-01,3468
033940038,2014-03-01,3320
025202058,2014-03-01,2533
026089019,2014-04-01,7269
025300029,2014-04-01,4860
026664021,2014-04-01,3010
033940038,2014-04-01,2736
025680024,2014-04-01,2227
026089019,2014-05-01,7598
025300029,2014-05-01,5594
026664021,2014-05-01,3253
033940038,2014-05-01,2951
025680024,2014-05-01,2523
026089019,2014-06-01,6703
025300029,2014-06-01,5405
026664021,2014-06-01,3151
033940038,2014-06-01,2599
025680024,2014-06-01,2440
026089019,2014-07-01,7200
025300029,2014-07-01,6339
026664021,2014-07-01,3384
025680024,2014-07-01,3031
033940038,2014-07-01,2537
026089019,2014-08-01,5104
025300029,2014-08-01,4488
026664021,2014-08-01,2391
025680024,2014-08-01,2240
033940038,2014-08-01,1609
026089019,2014-09-01,7894
025300029,2014-09-01,5896
026664021,2014-09-01,3533
025680024,2014-09-01,2801
033940038,2014-09-01,2725
026089019,2014-10-01,8572
025300029,2014-10-01,5205
026664021,2014-10-01,3810
033940038,2014-10-01,3024
025680024,2014-10-01,2741
026089019,2014-11-01,7701
025300029,2014-11-01,4621
026664021,2014-11-01,3222
033940038,2014-11-01,2744
025680024,2014-11-01,2326
026089019,2014-12-01,8411
025300029,2014-12-01,4856
026664021,2014-12-01,3350
033940038,2014-12-01,2900
025202058,2014-12-01,2554
026089019,2015-01-01,10885
025300029,2015-01-01,5339
025202058,2015-01-01,4062
026664021,2015-01-01,4032
033940038,2015-01-01,4023
026089019,2015-02-01,9215
025300029,2015-02-01,4634
026664021,2015-02-01,3691
033940038,2015-02-01,3541
025202058,2015-02-01,3286
026089019,2015-03-01,9398
025300029,2015-03-01,5581
026664021,2015-03-01,3840
033940038,2015-03-01,3566
025202058,2015-03-01,2977
026089019,2015-04-01,7379
025300029,2015-04-01,5049
026664021,2015-04-01,3195
033940038,2015-04-01,2950
025202058,2015-04-01,2485
026089019,2015-05-01,7094
025300029,2015-05-01,5650
026664021,2015-05-01,3112
025680024,2015-05-01,2515
033940038,2015-05-01,2431
026089019,2015-06-01,6964
025300029,2015-06-01,6119
026664021,2015-06-01,3249
025680024,2015-06-01,2863
033940038,2015-06-01,2413
026089019,2015-07-01,7083
025300029,2015-07-01,6445
025680024,2015-07-01,3459
026664021,2015-07-01,3293
033940038,2015-07-01,2309
025300029,2015-08-01,5149
026089019,2015-08-01,5118
026664021,2015-08-01,2661
025680024,2015-08-01,2384
033940038,2015-08-01,1628
026089019,2015-09-01,7179
025300029,2015-09-01,6294
026664021,2015-09-01,3487
025680024,2015-09-01,2939
033940038,2015-09-01,2495
026089019,2015-10-01,7870
025300029,2015-10-01,5377
026664021,2015-10-01,3475
033940038,2015-10-01,2710
025680024,2015-10-01,2682
026089019,2015-11-01,7812
025300029,2015-11-01,5086
026664021,2015-11-01,3262
033940038,2015-11-01,2728
025680024,2015-11-01,2591
026089019,2015-12-01,8143
025300029,2015-12-01,5260
026664021,2015-12-01,3275
033940038,2015-12-01,2740
025202058,2015-12-01,2649
026089019,2016-01-01,8708
025300029,2016-01-01,5374
026664021,2016-01-01,3284
033940038,2016-01-01,3161
025202058,2016-01-01,3101
026089019,2016-02-01,8725
025300029,2016-02-01,5260
026664021,2016-02-01,3321
033940038,2016-02-01,3154
025202058,2016-02-01,2820
026089019,2016-03-01,9092
025300029,2016-03-01,5576
026664021,2016-03-01,3271
033940038,2016-03-01,3136
025202058,2016-03-01,2910
026089019,2016-04-01,7614
025300029,2016-04-01,4997
026664021,2016-04-01,2997
033940038,2016-04-01,2694
025202058,2016-04-01,2347
026089019,2016-05-01,8080
025300029,2016-05-01,5643
026664021,2016-05-01,3184
033940038,2016-05-01,2762
025680024,2016-05-01,2698
026089019,2016-06-01,6921
025300029,2016-06-01,5547
026664021,2016-06-01,2807
025680024,2016-06-01,2638
033940038,2016-06-01,2225
026089019,2016-07-01,6562
025300029,2016-07-01,6120
025680024,2016-07-01,2988
026664021,2016-07-01,2891
033940038,2016-07-01,2154
026089019,2016-08-01,5894
025300029,2016-08-01,5033
026664021,2016-08-01,2602
025680024,2016-08-01,2598
033940038,2016-08-01,1748
026089019,2016-09-01,7561
025300029,2016-09-01,5614
026664021,2016-09-01,2986
025680024,2016-09-01,2921
033940038,2016-09-01,2414
