co_atc,mese,count
J01MA02,2016-10-01,5529
A07AA11,2016-10-01,5400
J01CR02,2016-11-01,15258
A07AA11,2016-11-01,5752
J01MA02,2016-11-01,5526
J01CR02,2016-12-01,18820
J01MA02,2016-12-01,5987
J01DD04,2016-12-01,5765
J01CR02,2017-01-01,19369
J01MA02,2017-01-01,6864
J01DD04,2017-01-01,6551
J01CR02,2017-02-01,14761
J01MA02,2017-02-01,5468
A07AA11,2017-02-01,5397
J01CR02,2017-03-01,17063
A07AA11,2017-03-01,6176
J01MA02,2017-03-01,5842
J01CR02,2017-04-01,12118
A07AA11,2017-04-01,5114
J01MA02,2017-04-01,4832
J01CR02,2017-05-01,15202
A07AA11,2017-05-01,6476
J01MA02,2017-05-01,5700
J01CR02,2017-06-01,12389
A07AA11,2017-06-01,6161
J01MA02,2017-06-01,4986
J01CR02,2017-07-01,12560
A07AA11,2017-07-01,6832
J01MA02,2017-07-01,5021
J01CR02,2017-08-01,9826
A07AA11,2017-08-01,5382
J01MA02,2017-08-01,4043
J01CR02,2017-09-01,14237
A07AA11,2017-09-01,6226
J01MA02,2017-09-01,5369
J01CR02,2017-10-01,16151
A07AA11,2017-10-01,5994
J01MA02,2017-10-01,5798
J01CR02,2017-11-01,15104
A07AA11,2017-11-01,5577
J01MA02,2017-11-01,5237
J01CR02,2017-12-01,14455
A07AA11,2017-12-01,5237
J01MA02,2017-12-01,4728
J01CR02,2018-01-01,21470
J01DD04,2018-01-01,6938
J01MA12,2018-01-01,6926
J01CR02,2018-02-01,15298
J01MA02,2018-02-01,5095
A07AA11,2018-02-01,5079
J01CR02,2018-03-01,15170
A07AA11,2018-03-01,5895
J01MA02,2018-03-01,5426
J01CR02,2018-04-01,12551
A07AA11,2018-04-01,5283
J01MA02,2018-04-01,4764
J01CR02,2018-05-01,13954
A07AA11,2018-05-01,6059
J01MA02,2018-05-01,5194
J01CR02,2018-06-01,11673
A07AA11,2018-06-01,5709
J01MA02,2018-06-01,4708
J01CR02,2018-07-01,11908
A07AA11,2018-07-01,6303
J01MA02,2018-07-01,4551
J01CR02,2018-08-01,8432
A07AA11,2018-08-01,4549
J01MA02,2018-08-01,3444
J01CR02,2018-09-01,2487
A07AA11,2018-09-01,1255
J01MA02,2018-09-01,952
