userid,pazienti,prescrizioni
^¶YZ©M9,1228,827
¶>YM*M3,1157,826
WYWFVBC,1308,826
A=:IQ@O,968,825
XQPRU1M,1555,824
HB8GRS8,1385,815
^OV?©FV,1338,810
QYHJVX6,2659,809
GNMR5E8,1886,805
YJWMRRF,1503,801
A=0V$&?,1192,801
A:XY(=O,1112,798
WFQJQE8,1667,792
GE8JYDF,1204,781
AS5UR9E,964,777
YEKTDA2,1244,775
YJQ7Y3Q,1156,774
A:}_O](,985,770
29EMQ84,1680,768
A=NW#{X,778,767
2PWEWPC,2043,764
Q3QWQUX,1772,764
P8WR4C5,1429,764
¶)V4TG9,1257,763
AHJFU84,847,763
KWPVYA2,1447,762
HXYTQVJ,990,760
4FSYRYM,1463,753
A:LKJMD,1307,750
7G3YD84,1282,750
NNPGQ3Q,1308,749
A:31C/.,796,748
YJPSVT9,1197,746
*+UM1HV,1123,742
WQDF44W,1526,740
AHWURDF,1425,736
RDX9UT9,1808,729
4WE9DGJ,1033,728
RXXNDJV,1575,718
4XF5SWM,1850,717
8DJV49E,1356,707
NF4VVJV,1261,706
Y8XHTC5,1697,695
4PYUSC5,1300,691
A=*GYG8,755,688
H495TVJ,4083,685
"^N,_7&3",1212,685
^C]$+?V,1005,675
A=M?DGN,1360,670
A:X5VH:,1016,665
KM9PRNA,1356,665
79HKWWM,2321,659
GJTSUGJ,505,658
EKXNQDF,876,658
A.G{1-K,924,657
^*K(R|V,992,657
BCNYWBC,1431,655
"A.7(,.W",877,654
A:&/BGH,987,649
AETKFFM,612,646
ATPWWNA,1309,646
A:[¶V=N,706,636
¶Z$7UOD,1543,635
^E:T/RO,1617,634
^FGZ]=0,1409,629
7RSRUBC,1075,629
WMF7DC5,1807,626
AX6MUMV,907,625
8TY6YJV,1294,625
GWCCD5U,651,619
¶SJ/9KS,1669,618
A.7G$NR,1028,614
A.I1Q5;,1489,614
A:]78{>,858,614
RTSQQS8,1052,613
JEJTQVJ,1322,613
WDDWUFM,1171,612
DRQTRGJ,2071,608
A:V[({#,769,602
EHTHQWM,1320,602
RN5TVZR,1456,600
A=ZRVR_,1340,599
Q4G6SPC,782,595
DMTFTZR,1181,595
SSPSW1M,1688,593
GB8FSWM,1257,591
*)BE+NA,1083,589
A.3C9@Z,984,583
ECQMUS8,1091,577
PPWJDC5,1097,574
PF4TD2J,1512,574
A.;T}+3,449,562
*/0?Y(T,810,562
9DPX4RF,836,560
A.5DKH¶,1206,560
WQPKTQ5,870,558
A=U|[XZ,783,555
ESG8RE8,708,555
KYYUWE8,1247,553
6W7Y4MV,1507,549
A.?#^Q@,657,548
AR4PTFM,1178,542
FCQURA2,1056,541
A=+>N$9,1487,539
^BWK{O5,942,538
^+H¶R>E,898,538
^B©A<_Q,906,537
ARCFVX6,1154,533
A=Q#I9C,793,522
D5RE43Q,1417,519
^@GR7{F,764,519
A=+H.{|,596,517
FS8Y4VJ,952,515
QGGQSBC,1319,515
A¶_8M4[,1155,514
¶P?(+QA,765,513
¶-Z9H0C,835,512
NMK5WX6,615,512
2EQQTGJ,833,511
948S47B,1148,511
^VEG3DN,926,507
CQWXSKA,1372,503
A:31C]7,608,501
A=0;7©3,2918,500
KS6WQT9,1527,498
4MD9D2J,487,497
KCQYSFM,1165,497
SN8GWQ5,1646,495
AEGM69E,1380,494
"*,7+!K8",1094,493
638RVE8,1169,492
WSEUD5U,1559,491
A:[>{P6,919,483
^U¶#YHG,823,482
^*?B<)S,993,477
A:|©J>©,762,476
QR8VS3Q,1792,469
"A=}RO,2",1790,468
JRNJQC5,942,468
^J}*?ID,1617,466
JGYFYE8,900,464
XP7PQ1M,1849,463
A={|JV4,692,463
CXTWYZR,1616,462
A=1S)*G,689,459
WFPDW5U,1171,459
K5N94S8,1169,452
A=¶Y<&D,965,444
A=EMX*8,620,439
A:|WEVO,715,430
"A.A^,2)",1100,429
^MO@K.4,895,429
A3HW761,1046,427
^©(#9EG,939,420
A.I1Q9#,1138,417
4GESU5U,1563,414
93QCTJV,1658,413
WHFKWDF,1500,413
^(?UHNH,853,408
3RMFT7B,1110,405
A=2(H9E,1098,405
A=M?D5F,1278,403
XFEPU5U,890,399
A=O}3W{,564,397
A=B7HB$,1740,394
"A¶,^*BZ",649,392
WHPQWQ5,1053,391
A:}N_W5,423,389
4SWCQX6,871,386
AQE4VA2,1669,386
¶IFI^MP,975,384
^KA=9XE,1227,384
"A:D:,Q©",787,383
RJX4WZR,1224,382
QNKMVGJ,604,382
PC6SUMV,1706,382
A=>P($K,727,379
A.A^.?.,1016,378
¶9+U.Y9,586,370
3XTXU7B,912,370
A=+4KQO,1543,364
¶4])G?H,685,364
RW7SU5U,1614,364
K8Q5RS8,906,364
A=(X7+E,836,364
K9CSSGJ,612,363
9WKUYE8,1060,358
^!&¶[6P,757,356
A.A^^[_,930,355
X5R7WGJ,747,354
ADN581M,440,354
"A.A^,)6",1002,349
"^1:X,)1",1141,337
A:>O?(H,576,331
QSTJSPC,602,329
A.G-12X,610,326
BJKPSWM,1308,324
A¶©:PXK,724,323
QMRDUE8,743,322
2QRUQS8,1424,322
A:3$/=1,921,321
RS7KY1M,1414,321
R4MUWZR,1322,314
7KFJT4W,924,314
A.O7C3*,722,313
A.4©|;P,569,313
A2PST61,1561,309
A.K[*DH,622,305
AQK7QC5,1562,301
A.=6!(&,534,298
HG4TQ5U,1148,297
Q55EUPC,1157,297
"A.A^,^)",869,296
A.=6![I,511,295
¶G)3(GO,686,288
"A:,9:T¶",535,288
A:>9$H?,727,287
"^©B©^,3",1624,286
¶=EE/]Z,745,284
^$V?DO6,736,283
XQWWU7B,901,278
